0,x^{2M}+x^{M-1}
1,1-x+iy
2,\sum_{l} x^{(l)}
3,2\cos\alpha
4,\frac{dA^{-1}}{dx} = - A^{-1}\frac{dA}{dx} A^{-1}
5,-8.8\times 10^{+7}
6,a \geq \left(\frac{n-3}{n-1}\right)\left(\frac{2}{(n-1)c} \right)^{\frac{2}{n-3}}
7,\lim_{p\rightarrow\infty}f_p=0
8,x = \cos (q)
9,t \times t=1+t
10,\frac{1}{4}=-\frac{3}{4}+1
11,a_n=\frac{-i\sqrt{n}}{2}(q_n+i\frac{2}{n}p_n)
12,\sqrt{4\pi}
13,ds^2_{d+1} = - {dx}^2+{ds}^2_{d}
14,ax=b and ya=b
15,\frac{1}{\sqrt{\pi}}
16,\sin z = \beta
17,R_i x_i=-x_iR_i
18,b^1_{abc}=b^1_{a(bc)}
19,L_t(dx^\mu e_\mu^a(x))= L_t(dx^\mu) e_\mu^a(x) + dx^\mu L_t e_\mu^a(x)
20,x \geq X
21,\int d^2x
22,y=2x-\frac{c_{i}+c_{j}}{2}
23,y = -b^n+c^n-d^n
24,\frac{n^2-n-4}{2n(k+n+1)} + \frac{2}{nk}
25,n_a=n_{a+\frac{n}{2}}
26,\sum_{i=0}^{n-1}{t^i}=\frac{ 1-t^n}{1-t}
27,"(\frac{1}{9},\frac{1}{9})"
28,\exists g\in G
29,\int H_3
30,+c.c
31,\forall x\in M
32,(3.1.5)
33,\sin\alpha=0
34,\int a(x) d^2x=\int b(x) d^2x=0
35,\frac{l}{x}
36,E\times \ldots \times E
37,F_y=F_{aya^{-1}}=a F_y a^{-1}
38,y^2 =x^3+f(z) x+g(z)
39,X=x_2p^{-3}+x_1p^{-2}+x_0p^{-1}
40,(2n+3)+n=3n+3
41,n \log n
42,x_1x_2x_3x_4x_5
43,x^{\pm j}=\frac{1}{\sqrt{2}}(x^{2j+2}\pm ix^{2j+3})
44,d=\frac{a_0(t)b_0(t)}{a_0(0)b_0(0)}
45,ds^2=\frac{1}{2}\left( -dt^2+\frac{\tan^2 t }{1+\frac{8}{9}\tan^2 t } dx^2\right)
46,-\frac{1}{24} + \frac{a}{4}(1-a)
47,f= \frac{y+y_B}{x-x_B}
48,a = a_0 + a_1 + a_2
49,\mbox{S}^3
50,\lim_{r\rightarrow \infty}F(r) = 0
51,I+II
52,yx=qxy
53,(1-q_{12}^2)^2 (1-q_{13}^2)^2 (1-q_{23}^2)^2 (1 -q_{12}^2 q_{13}^2 q_{23}^2)
54,f(x)=\log(x+c)
55,\int_{-d}^d dx^{11} = 2\int_0^d dx^{11}
56,\cos a=0.2
57,8n-8=8-8=0
58,\int\sqrt{h}T(x)
59,\frac {9}{ 4} x^{-1} (x^3-1)^{-1}
60,"\sum_n \int_0^1 dx (1-x) f(x,n) =\sum_n\int_0^1 dy y f(y,n)"
61,t=y_1-y_2-y_3-y_4-y_5-y_6-y_7+y_8
62,1-\sqrt{1-\sqrt{E}}
63, (X^0)^2 + (X^1)^2 + (X^2)^2 + (X^3)^2 + (X^{4})^2 = \alpha_B^2
64,\int d^{10} x
65,\sin^2 \sigma
66,7+5+3+3=18= 3 \times (5+1)
67,X^{6789}=-X^{6789}
68,E=R\left( \frac{1}{L}+\frac{L}{2}-\sqrt{1+\frac{1}{L^{2}}-2M}\right)
69,\int d E
70,a_1b_1a_1^{-1}b_1^{-1}
71,\mbox{C}^2
72,\frac{-11+\sqrt{221}}{10}
73,\beta_1+\beta_2+\beta_3+\beta_4+\beta_5+\beta_6+\beta_7
74,\frac{\sqrt{1517}}{13}
75,ABC = CBA
76,a(t_i(n)) \div n
77,\frac{21}{4(k+6)}+\frac{3}{4(k+2)}
78,x = -2 +\sqrt 3
79,\frac h2\log h
80,f(x) = c frac {1-e^{-x}}{1+e^{-x}}
81,"-0,46 \div 1"
82,ax+by+c=0
83,^9-x^8
84,w^2=(w_1)^2 +(w_2)^2
85,z_1 z_2 z_3+z_1 z_2 z_4+z_1 z_3 z_4+z_2 z_3 z_4
86,\int \sqrt{g}R^{2}
87,\sqrt{c_i}
88,t=\sum_a t_a
89,y^2=(x-b_1)(x-b_2)(x-b_3)
90,"(-\log x,-\log y)"
91,Y^aY^a+Y^5Y^5=5
92,\sqrt{iz}
93,z_3-\frac{1}{2} \leq z_8 \leq z_3+\frac{1}{2}
94,\frac{1}{8} + \frac{1}{8 k_1}
95,-\log E
96,-\left(\frac{5-\sqrt{5}}{5+\sqrt{5}} \right)^{\frac{3}{4}}
97,"8,393 398 582"
98,y^4 = (x-b_1)^2(x-b_2)^2(x-b_3)^3
99,m^{a} m^{b} m^{c}
100,-x_9
101,x^8+ix^9
102,B=-\frac{1}{4}\tan \left( \frac{p\pi }{2}\right)
103,R=\lim_{n\rightarrow\infty}a_n/a_{n+2}
104,p=1\div m
105,w = \frac{\sin^2 \theta }{1+\cos ^2 \theta}
106,y=\cos^2 z
107,\log \cos \theta
108,1^2+1^2+1^2 + 3^2 + 2^2 + 2^2 + 2^2
109,\int f(x) dx
110,\sqrt {2n_k +1}
111,\pm \sqrt{-1}
112,y=x_0-x
113,-t_1^2-t_2^2+x_1^2+x_2^2+x_3^2=-1
114,"(x^{0},x^{1},x^{2},x^{3},x^{4})=(t,x,y,z,\theta)"
115,"e_{3,4}, f_{3,4}, g_{3,4}"
116,\sum_aX_a
117,1-n+2\sqrt{(n+2)(n-1)}&gt;0
118,\sqrt 7+1
119,y\geq x
120,e_{+3}
121,\mbox{T}^4
122,\sum_a e^a e^a
123,a_1(y)^2 + c_1(y)^2
124,\int A_{m}
125,s=\tan\left(\frac{\theta}{2}\right)
126,t_1(t)=-t_2(t)=t^{n+\frac {1}{ 2}}
127,x &gt;x_o
128,1.1+ 0.01 i
129,}-\frac{12}{m(m+2)}
130,b\in T
131,\frac{1}{4}\sqrt{(a+b+c)(a+b-c)(a+c-b)(b+c-a)}
132,s^2 = e^{2f}(dr^2 + dz^2 - dt^2) + \frac{e^{2g}}{y^2}(dx^2 + dy^2)
133,x \neq a$
134,y^2=(x-b_1)(x-b_2)(x-b_3)(x-b_4)
135,C_{xx}=C_{xy}C_{yx}
136,-y_c\leq y\leq y_c
137,X_1 X_8= X_6 X_7
138,T=\tan\theta
139,x^{-1}\frac{d^{n-1}}{dx^{n-1}}
140,\int (a+b)=\int a+\int b
141,[C[-1]] + [B] = [A]
142,"2[(\frac { 1}{2} ,0) + (0,\frac { 1}{2})]"
143,z_1 z_2+z_1 z_3+z_1 z_4+z_2 z_3
144,\sum \left( n+a\right)^{-s}
145,"y^a=\{r\cos\theta_1,\ldots,r\sin\theta_1 \ldots\cos\theta_{d-1}, r\sin\theta_1\ldots\sin\theta_{d-1}\}"
146,\sum\sum_{b&lt;a}^N \lambda_a \lambda_b=\sum_{a=1}^N r_aq_a^2-\sum_{a=1}^N q_a^2 \sum_{b=1}^N r_b+\sum\sum_{b&lt;a}^N r_br_a
147,\sum I=\sum I^{(1)}+\sum I^{(2)}
148,\sum (x^i)^2=(x^0)^2
149,\cos(a)
150,x^{a+1} y^{b+1}
151,z(t)=\sqrt{\frac{m}{2}}\left( x(t)+iy(t) \right )
152,x - y
153,\int dx_1dx_2
154,a^a_{bc}=b^a_{bc}
155,z_i^{l_i} z_j^{l_j}-z_i^{l_j}z_j^{l_i}
156,\sqrt{3\pm\sqrt{3}}
157,\sum_n\int dx
158,2\log b
159,x^7x^8x^9
160,\sin\theta \neq 0
161,a_3=0.0307\ldots
162,b=-c=\sin\alpha
163,a \geq -\frac{1}{4}
164,-n+p+j
165,\log (1-x) + 2 x =0
166,x \geq c
167,\frac {1}{ 12} (n+2)^2 (n+1) (n+3)
168,\frac{2}{\sqrt{3}} - \frac{1}{2\sqrt{3}} = \frac{1}{2\sqrt{3}} - (-\frac{1}{\sqrt{3}})= \frac{\sqrt{3}}{2}
169,[a(a+b)000(a+b)a]
170,+z_2^2 z_3+z_2^2 z_4+z_3^2 z_1+z_3^2 z_2+z_3^2 z_4
171,\cos kx
172,x^0x^1x^2x^3x^8x^9
173,-\frac {247}{3840} \sqrt{30}
174,\int_0^1 dyX(y)
175,(d+1+n)\times (d+1+n)
176,y_1 y_2 + y_2 y_1 =0
177,k= \frac{1+a^m}{1-a^m}
178,x_i^{s-1}x_j^p+\ldots +x_i^px_j^{s-1}
179,x^ay^a
180,\sqrt 3 (\sqrt 2)
181,a_{abc} = a_{cba}
182,\frac{1}{2}(f_1^2 + f_2^2 + f_3^2)
183,s(n)=\frac{1}{\sqrt{2}}(\cos\frac{n\pi}{4}+\sin\frac{n\pi}{4})\cos\frac{n\pi}{4}
184,f^{-1}(z)=\tan z
185,y=\frac{5t^3-1}{1+t^3}
186,y_0\leq y\leq L
187,0.7771
188,f^{\frac{1}{3}}r \sin\theta
189,\cos\theta X^6 + \sin\theta X^2
190,\alpha =1\div 4
191,u_{ab} = n_{ab} + u_a u_b
192,\pm\frac {1}{ 6}
193,y(r)= 7r^{\frac{73}{95}}+5r^{\sqrt 5}+3r^{\pi}+r^{2\sqrt 5}+3r^{\frac{77}{5}}
194,0 \leq x \leq +\infty
195,x^2+y^2 + (z-z_1(t))(z-z_2(t))(z-z_3(t)) = 0
196,|z_1|^2+|z_2|^2+|z_3|^2=1
197,Y^1+Y^2+Y^3 = -t +3Y^0
198,+\sqrt{3}
199,\sin(k_n x)
200,2c &gt; \sqrt{6} -\sqrt{3}
201,2.0\times 1.0
202,|z_1|^2-|z_2|^2=|z^2|-|z^1|=1
203,2^{-7/9} 3^{-1/3}
204,\int (B+F)
205,\lim_{t \rightarrow \infty } 2 f_0(t) f_1(t) =0
206,kx=k_0x^0+k_1x^1
207,\lim_{n\rightarrow\infty}\phi_n=0
